[TAILING] Tailing last 200 lines for [all] processes (change the value with --lines option)
/home/incall/.pm2/pm2.log last 200 lines:
PM2        | 2026-04-01T06:44:06: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-01T06:44:06: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-01T10:33:33: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-01T10:33:33: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-01T10:33:33: PM2 log: pid=3847537 msg=process killed
PM2        | 2026-04-01T10:33:33: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-01T10:33:33: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-01T10:52:06: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-01T10:52:06: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-01T10:52:06: PM2 log: pid=3857498 msg=process killed
PM2        | 2026-04-01T10:52:06: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-01T10:52:06: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-01T10:56:23: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-01T10:56:23: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-01T10:56:23: PM2 log: pid=3858416 msg=process killed
PM2        | 2026-04-01T10:56:23: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-01T10:56:23: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-01T23:16:28: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-01T23:16:29: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-01T23:16:29: PM2 log: pid=3858803 msg=process killed
PM2        | 2026-04-01T23:16:29: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-01T23:16:29: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-01T23:46:06: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-01T23:46:06: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-01T23:46:06: PM2 log: pid=3894600 msg=process killed
PM2        | 2026-04-01T23:46:06: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-01T23:46:06: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-02T08:53:10: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-02T08:53:11: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-02T08:53:11: PM2 log: pid=3900948 msg=process killed
PM2        | 2026-04-02T08:53:11: PM2 log: Stopping app:makevideo-ai id:5
PM2        | 2026-04-02T08:53:11: PM2 log: pid=3629162 msg=failed to kill - retrying in 100ms
PM2        | 2026-04-02T08:53:11: PM2 log: pid=3629162 msg=failed to kill - retrying in 100ms
PM2        | 2026-04-02T08:53:11: PM2 log: pid=3629162 msg=failed to kill - retrying in 100ms
PM2        | 2026-04-02T08:53:11: PM2 log: App [makevideo-ai:5] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-02T08:53:11: PM2 log: pid=3629162 msg=process killed
PM2        | 2026-04-02T09:01:16: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-02T09:01:16: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-02T09:01:16: PM2 log: App [makevideo-ai:5] starting in -fork mode-
PM2        | 2026-04-02T09:01:16: PM2 log: App [makevideo-ai:5] online
PM2        | 2026-04-03T01:33:45: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-03T01:33:46: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-03T01:33:46: PM2 log: pid=3931137 msg=process killed
PM2        | 2026-04-03T01:33:46: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-03T01:33:46: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-03T01:44:40: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-03T01:44:40: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-03T01:44:40: PM2 log: pid=3973642 msg=process killed
PM2        | 2026-04-03T01:44:40: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-03T01:44:40: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-03T23:37:22: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-03T23:37:22: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-03T23:37:22: PM2 log: pid=3975874 msg=process killed
PM2        | 2026-04-03T23:37:22: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-03T23:37:22: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-03T23:49:56: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-03T23:49:56: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-03T23:49:56: PM2 log: pid=4025388 msg=process killed
PM2        | 2026-04-03T23:49:56: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-03T23:49:56: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T00:21:53: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T00:21:53: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T00:21:54: PM2 log: pid=4026335 msg=process killed
PM2        | 2026-04-04T00:21:54: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T00:21:54: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T00:27:00: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T00:27:01: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T00:27:01: PM2 log: pid=4028612 msg=process killed
PM2        | 2026-04-04T00:27:01: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T00:27:01: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T00:44:12: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T00:44:13: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
PM2        | 2026-04-04T00:44:13: PM2 log: pid=4029418 msg=process killed
PM2        | 2026-04-04T00:44:13: PM2 log: App [inside.tsol.vn:0] starting in -fork mode-
PM2        | 2026-04-04T00:44:13: PM2 log: App [inside.tsol.vn:0] online
PM2        | 2026-04-04T01:06:19: PM2 log: Stopping app:inside.tsol.vn id:0
PM2        | 2026-04-04T01:06:20: PM2 log: App [inside.tsol.vn:0] exited with code [0] via signal [SIGINT]
